Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 4,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHNEIDER ELECTRIC,,2025,,,,,,,,,"2,04",,,"8,59","31,10","15,21","562,22","32,05","10,20","17,50","8,87",,"40,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHNEIDER ELECTRIC,,2024,,,,,,,,,"1,97",,"3,90","8,32","28,06","14,22","560,97","32,11","10,50","17,18","8,14","51,22","38,15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHNEIDER ELECTRIC,,2023,,,,,,,,,"2,02",,"3,50","7,26","26,29","13,03","558,32","25,73","11,02","16,60","8,81","48,95","35,90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHNEIDER ELECTRIC,,2022,,,,,,,,,"1,67",,"3,15","7,11","20,75","12,43","559,11","21,25","10,43","16,22","6,45","50,56","34,18",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHNEIDER ELECTRIC,,2021,,,,,,,,,"1,82",,"2,90","5,67","19,20","10,57","556,58","30,39","10,25","15,76","5,44","50,36","28,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHNEIDER ELECTRIC,,2020,,,,,,,,,"2,36",,"2,60","3,81","20,61","8,75","554,33","31,03","7,27","14,58","7,08","67,72","25,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHNEIDER ELECTRIC,,2019,,,,,,,,,"1,63",,"2,55","5,32","15,20","9,30","551,02","21,14","8,70","14,77","6,77","58,24","27,16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCHNEIDER ELECTRIC,,2018,,,,,,,,,"1,65",,"2,35","4,62","13,32","8,07","549,48","14,34","9,04","14,24","4,26","55,78","25,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HERMES,https://upload.wikimedia.org/wikipedia/fr/thumb/4/43/Logo_Herm%C3%A8s.svg/1280px-Logo_Herm%C3%A8s.svg.png,2026,Luxe,,"18,45","1609,50","2052,00","1920,80","-0,22","37,65","0,29","1,62","26,00","43,07","22,22","77,95","104,84","47,83","22,60","49,45","40,62",,"16,00",EPA:RMS,"18,57","12,84","3,73",,,,,,,,,Column 15,Entreprise,Colonne 1,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Dividende %,Valeur %,Per,Dette/EBITDA,ROIC,Marge opé,,,,,,,
HERMES,,2025,,,,,,,,,"0,31",,,"43,07","22,22","71,00","105,57","49,27","22,60","41,05","40,62",,"16,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
