Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Entreprise,Colonne 1,Anné,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Valeur %,Per,Dette/EBITDA,Dividende %,Dividende €,EPS,DETTE,EBITDA,TOTAL ACTION,PER,ROIC,Marge opé,FCF,PAY OUT RATIO,CA,TICKER,SCORE VALUE,EPS %,PEG,Colonne 4,Colonne 5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA,,2025,,,,,,,,"38,32","0,09",,"0,04","4,77","0,47","5,43","24,30","38,32","93,57","60,38","3,41","0,82","215,94",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVIDIA,,2024,,,,,,,,"48,54","0,12",,"0,03","2,99","0,41","3,36","24,48","48,54","102,75","62,42","2,45","1,16","130,50",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
NVIDIA,,2023,,,,,,,,"51,14","0,32",,"0,02","1,30","0,44","1,38","24,64","51,14","69,81","54,12","1,08","1,34","60,92",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
NVIDIA,,2022,,,,,,,,"116,91","1,71",,"0,02","0,33","0,48","0,28","24,66","116,91","12,30","20,68","0,15","9,18","26,97",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
NVIDIA,,2021,,,,,,,,"59,37","1,07",,"0,02","0,44","0,47","0,44","25,06","59,37","31,56","37,31","0,32","4,16","26,91",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
NVIDIA,,2020,,,,,,,,"75,30","1,35",,"0,02","0,25","0,31","0,23","24,80","75,30","22,65","27,68","0,19","9,28","16,68",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
NVIDIA,,2019,,,,,,,,"55,37","0,85",,"0,02","0,14","0,11","0,13","24,48","55,37","21,44","26,48","0,17","14,15","10,92",,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
NVIDIA,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
GOOGLE,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Google_2015_logo.svg/1280px-Google_2015_logo.svg.png,2026,Technologie,,"-0,46","376,37","204,60","176,84","0,84","36,79","0,44","0,22","0,83","10,81","5,48","12,59","5,44","30,66","32,01","31,67","5,99","7,68","403,06",NASDAQ:GOOGL,"18,87","12,45","2,46",,,,,,,,,,#REF!,,,,,,,,,,,,,,,,,,,,
GOOGLE,,2025,,,,,,,,,"0,45",,"0,83","10,81","5,48","12,29","5,43","29,04","32,01","32,05","5,99","7,46","402,96",,,,,,,,,,,,,,NESTLE,https://cdn.worldvectorlogo.com/logos/nestle-4.svg,2026,Consommation de base,,"1,75","77,87","79,56","66,32","-0,02","17,62",,,,,,"6,94","2,53","21,92","10,84","15,43"
GOOGLE,,2024,,,,,,,,,"0,22",,"0,60","8,04","2,26","10,24","5,51","23,68","32,42","32,07","5,85","0,00","349,81",,,,,,,,,,,,,,ESSILORLUXOTTICA,https://upload.wikimedia.org/wikipedia/fr/thumb/4/45/Essilorluxottica_Logo.svg/960px-Essilorluxottica_Logo.svg.png,2026,Consommation de base,,"-3,95","172,8","128,25","138,30","0,35","34,7","2,23",,,,"30,72","13,76","463,19","42,31","4,70","9,45"
GOOGLE,,2023,,,,,,,,,"0,30",,"0,00","5,80","2,35","7,71","5,69","24,30","24,91","28,05","5,46","0,00","307,16",,,,,,,,,,,,,,EDENRED,https://upload.wikimedia.org/wikipedia/commons/c/c1/Edenred_Logo_%28depuis_2017%29.png,2026,Consommation de base,,"25,75","23,3","47,40","31,71","-0,51",,"4,10","5,20","1,21",,"19,67","4,80","235,40","9,26","19,51","32,74"
GOOGLE,,2022,,,,,,,,,"0,34",,"0,00","4,56","2,28","6,75","6,00","19,47","21,37","25,95","4,56","0,00","280,88",,,,,,,,,,,,,,CHIPOTLE MEXICAN GRILL,https://upload.wikimedia.org/wikipedia/en/3/3b/Chipotle_Mexican_Grill_logo.svg,2026,Consommation de base,,"37,52","30,6","40,72","34,29","-0,25",,"2,14","0,00","0,00",,"3,85","1,80","1,30","31,35","19,79","20,31"
GOOGLE,,2021,,,,,,,,,"0,31",,"0,00","5,61","2,10","6,71","6,33","25,79","28,94","30,51","4,94","0,00","257,49",,,,,,,,,,,,,,DOMINOS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQFQZlOOnAaQivL0gqf0bXs--rRveNHulbo_A&s,2026,Consommation de base,,"18,88","313,7","456,82","357,73","-0,31","17,9","4,85","1,93","6,04",,"148,46","30,64","33,63","22,72","105,67","19,32"
GOOGLE,,2020,,,,,,,,,"0,51",,"0,00","2,93","2,03","3,98","6,57","29,89","17,36","22,51","3,12","0,00","182,35",,,,,,,,,,,,,,COSTCO,https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/Costco_Wholesale_logo_2010-10-26.svg/1280px-Costco_Wholesale_logo_2010-10-26.svg.png,,Consommation de base,,"3,58","946,1","637,35","539,94","0,48","52,0","0,27","0,52",,,,,,,"30,32","0,04"
GOOGLE,,2019,,,,,,,,,"0,34",,"0,00","2,46","1,14","3,38","6,84","27,20","17,26","21,98","2,22","0,00","161,40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TTM 2025,,2018,,,,,,,,,#DIV/0!,,"0,00",,,,,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROSOFT,https://graphiste.com/blog/wp-content/uploads/sites/4/2020/12/logo-microsoft-scaled.jpg,2026,Technologie,,"12,70","460,52","351,50","340,60","0,31","32,75","0,67","0,72","3,32",,"16,53","24,77","7,43","24,63","26,71","47,09","10,38",,"305,45",NASDAQ:MSFT,"19,33","24,24","1,02",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROSOFT,,2025,,,,,,,,,"0,69",,"3,32","13,64","15,03","21,79","7,43","36,46","25,60","45,62","9,59","24,34","281,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROSOFT,,2024,,,,,,,,,"0,74",,"3,00","11,80","13,10","17,64","7,43","37,88","28,06","44,64","9,92","25,42","245,12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROSOFT,,2023,,,,,,,,,"0,77",,"2,72","9,81","10,63","13,86","7,43","35,16","28,06","42,34","7,96","28,09","211,91",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROSOFT,,2022,,,,,,,,,"0,80",,"2,48","9,21","10,40","12,98","7,46","26,62","32,16","42,06","8,64","25,71","198,27",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROSOFT,,2021,,,,,,,,,"1,02",,"2,24","7,97","10,81","10,62","7,52","33,64","30,04","41,59","7,38","27,81","168,09",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROSOFT,,2020,,,,,,,,,"1,26",,"2,04","5,76","10,69","8,49","7,57","35,31","23,56","37,03","5,89","35,40","143,01",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROSOFT,,2019,,,,,,,,,"1,60",,"1,84","4,75","11,15","6,99","7,64","26,47","22,68","33,96","4,93","36,36","125,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MICROSOFT,,2018,,,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COINBAISE,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Coinbase.svg/1280px-Coinbase.svg.png,2026,Technologie,,"10,97","182,61","252,80","187,16","-0,28",,"1,90","0,00","0,00",,"26,57","13,97","228,18","12,65","18,34","34,33","10,34","0,00","8,74",NASDAQ:COIN,"17,62","5,00","2,53",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COINBAISE,,2025,,,,,,,,,"1,48",,"0,00",,"16,90","11,42","209,76",,"21,61","45,62",,"0,00","6,56",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COINBAISE,,2024,,,,,,,,,"35,24",,"0,00","9,48","11,98","0,34","195,19","26,20","1,04","-1,73",,"0,00","3,11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COINBAISE,,2023,,,,,,,,,"-1,99",,"0,00","0,37","15,82","-7,93","182,80","466,90","-28,03","-61,02",,"0,00","3,19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COINBAISE,,2022,,,,,,,,,"1,10",,"0,00","-11,83","16,08","14,62","168,81",,"54,10","39,24",,"0,00","7,84",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COINBAISE,,2021,,,,,,,,,"0,23",,"0,00","14,50","0,54","2,33","130,70","17,69","7,80","32,01",,"0,00","1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
COINBAISE,,2020,,,,,,,,,#DIV/0!,,"0,00","1,57",,,,,,,,"0,00","0,53",,,,,,,,,,,,,Column 15,Entreprise,Colonne 1,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Dividende %,Valeur %,Per,Dette/EBITDA,ROIC,Marge opé,,,,,,,
COINBAISE,,2019,,,,,,,,,#DIV/0!,,"0,00",,,,,,,,,"0,00",,,,,,,,,,,,,,,CREDIT AGRICOLE,https://franceactive-valdoise-yvelines.org/wp-content/uploads/2018/07/credit-agricole-sa-logo.jpg,,Finance & assurance,,"1,93","16,45","13,98","10,59","0,18","7,06","7,07","7,17",,,,,,,"1,33","0,10"
TTM 2025,,2018,,,,,,,,,#DIV/0!,,"0,00",,,,,,,,,"0,00",,,,,,,,,,,,,,,SOCIETE GENERAL,https://www.societegenerale.com/sites/default/files/image/2023-04/logo-societe-generale.png,,Finance & assurance,,"-1,57","70,8","53,64","36,45","0,32","11,2","4,72","4,69",,,,,,,"1,36","0,07"
CREDIT AGRICOLE,https://franceactive-valdoise-yvelines.org/wp-content/uploads/2018/07/credit-agricole-sa-logo.jpg,,Finance & assurance,,"1,93","16,45","13,98","10,59","0,18","7,06","7,07","7,17",,,,,,,"1,33","0,10",,,,EPA:ACA,"0,49",,,,,,,,,,,,BNP PARISBAS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJFxqbY3rUahvMAMjbnV3LJM90uyAZXtRd8A&s,,Finance & assurance,,"-4,78","92,6","56,52","41,61","0,64","9,8","0,03","5,48",,,,,,,"2,50","0,10"
SOCIETE GENERAL,https://www.societegenerale.com/sites/default/files/image/2023-04/logo-societe-generale.png,,Finance & assurance,,"-1,57","70,82","53,64","36,45","0,32","11,22","4,72","4,69",,,,,,,"1,36","0,07",,,,EPA:GLE,"0,49",,,,,,,,,,,,AXA,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/AXA_Logo.svg/3840px-AXA_Logo.svg.png,,Finance & assurance,,"10,97","39,6","31,59","22,14","0,25","11,3","0,02","5,76",,,,,,,"6,31","0,10"
BNP PARISBAS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQJFxqbY3rUahvMAMjbnV3LJM90uyAZXtRd8A&s,,Finance & assurance,,"-4,78","92,58","56,52","41,61","0,64","9,83","0,03","5,48",,,,,,,"2,50","0,10",,,,EPA:BNP,"4,95",,,,,,,,,,,,ASRNL,https://companieslogo.com/img/orig/ASRNL.AS-56491239.png?t=1720244490,,Finance & assurance,,"-13,10","63,4","28,66","25,46","1,21","12,2","0,01","5,23",,,,,,,"5,60","0,37"
AXA,https://upload.wikimedia.org/wikipedia/commons/thumb/9/94/AXA_Logo.svg/3840px-AXA_Logo.svg.png,,Finance & assurance,,"10,97","39,57","31,59","22,14","0,25","11,27","0,02","5,76",,,,,,,"6,31","0,10",,,,EPA:CS,"6,27",,,,,,,,,,,,ALLIANZ,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Allianz.svg/1280px-Allianz.svg.png,,Finance & assurance,,"-16,17","374,9","128,05","155,22","1,93","14,6","0,01","4,35",,,,,,,"12,49","0,12"
ASRNL,https://companieslogo.com/img/orig/ASRNL.AS-56491239.png?t=1720244490,,Finance & assurance,,"-13,10","63,44","28,66","25,46","1,21","12,18","0,01","5,23",,,,,,,"5,60","0,37",,,,AMS:ASRNL,"6,07",,,,,,,,,,,,DEUTSCHE BOERSE,https://upload.wikimedia.org/wikipedia/fr/4/44/Deutsche_Boerse_Logo.svg,,Finance & assurance,,"7,44","248,0","204,63","181,85","0,21","23,0","0,59","1,71",,,,,,,"11,69","0,42"
ALLIANZ,https://upload.wikimedia.org/wikipedia/commons/thumb/4/4b/Allianz.svg/1280px-Allianz.svg.png,,Finance & assurance,,"-16,17","374,90","128,05","155,22","1,93","14,64","0,01","4,35",,,,,,,"12,49","0,12",,,,ETR:ALV,"8,41",,,,,,,,,,,,EURONEXT,https://upload.wikimedia.org/wikipedia/fr/5/5a/Logo_Euronext.png,2026,Finance & assurance,,"4,60","139,9","106,42","82,57","0,31","22,3","2,73","2,07","2,90",,"29,34","10,76","100,61","18,54","9,62","51,57"
COVIVIO,https://upload.wikimedia.org/wikipedia/commons/e/ea/Covivio_LOGO.jpg,,Immobilier,,"-6,96","55,20","30,16","39,56","0,83","14,64","1,07","4,65",,,,,,,"2,37","0,51",,,,EPA:COV,"6,81",,,,,,,,,,,,AMUNDI,https://upload.wikimedia.org/wikipedia/commons/a/aa/Logo_d%27Amundi.png,2026,Finance & assurance,,"5,55","84,0","78,96","62,08","0,06","12,8","11,10","5,06","4,25",,"98,46","8,87","204,75",,"4,25","41,00"
GECINA,https://storage.googleapis.com/endurance-apps-liip/media/cache/gecina_no_filter_grid_fs/5cac58d280564a4fcd3ceb5d,,Immobilier,,"1,61","72,75","61,74","64,20","0,18","10,60","11,00","7,72",,,,,,,"3,25","0,59",,,,EPA:GFC,"1,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEUTSCHE BOERSE,https://upload.wikimedia.org/wikipedia/fr/4/44/Deutsche_Boerse_Logo.svg,,Finance & assurance,,"7,44","248,00","204,63","181,85","0,21","23,03","0,59","1,71",,,,,,,"11,69","0,42",,,,ETR:DB1,"9,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURONEXT,https://upload.wikimedia.org/wikipedia/fr/5/5a/Logo_Euronext.png,2026,Finance & assurance,,"4,60","139,90","106,42","82,57","0,31","22,35","2,73","2,07","2,90",,"29,34","10,76","100,61","18,54","9,62","51,57","8,95",,"1,76",EPA:ENX,"12,91","10,48","1,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURONEXT,,2025,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURONEXT,,2024,,,,,,,,,"1,45",,"2,90","6,56","24,99","17,21","102,76","19,23","8,46","67,28",,"51,30","2,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURONEXT,,2023,,,,,,,,,"1,92",,"2,48","5,51","29,06","15,12","103,67","16,29","7,35","65,35",,"51,21","2,22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURONEXT,,2022,,,,,,,,,"3,72",,"2,22","5,21","28,79","7,74","106,73","16,89","6,39","45,46",,"54,09","1,48",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURONEXT,,2021,,,,,,,,,"3,64",,"1,93","5,35","32,36","8,90","106,58","21,26","9,08","52,30",,"44,85","1,39",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURONEXT,,2020,,,,,,,,,"2,54",,"1,47","4,56","17,28","6,80","76,32","19,98","14,55","52,31",,"35,56","0,88",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURONEXT,,2019,,,,,,,,,"2,76",,"1,45","3,56","13,93","5,05","76,42","22,89","13,59","50,46",,"49,91","0,68",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EURONEXT,,2018,,,,,,,,,"1,45",,"1,41","3,14","6,60","4,55","76,25","16,27","19,85","52,82",,"49,62","0,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMUNDI,https://upload.wikimedia.org/wikipedia/commons/a/aa/Logo_d%27Amundi.png,2026,Finance & assurance,,"5,55","84,00","78,96","62,08","0,06","12,77","11,10","5,06","4,25",,"98,46","8,87","204,75",,"4,25","41,00","0,00",,"5,38",EPA:AMUN,"8,49","6,87","0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMUNDI,,2025,,,,,,,,,#DIV/0!,,,"6,58",,,"204,75",,,"43,30","0,00",,"3,34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMUNDI,,2024,,,,,,,,,"11,10",,"4,25","6,75","98,46","8,87","203,43","10,07","4,25","26,73","0,00","66,68","6,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMUNDI,,2023,,,,,,,,,"12,00",,"4,10","6,00","94,21","7,85","203,40","10,80","4,44","26,22","0,00","71,87","5,79",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMUNDI,,2022,,,,,,,,,"8,35",,"4,10","5,79","59,68","7,15","202,52","10,04","4,86","23,02","0,00","77,67","5,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMUNDI,,2021,,,,,,,,,"7,14",,"4,10","6,49","60,01","8,41","200,83","10,74","6,31","27,88","0,00","60,71","5,83",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMUNDI,,2020,,,,,,,,,"10,67",,"2,90","4,76","67,87","6,36","201,90","14,85","4,59","26,19","0,00","64,46","4,61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMUNDI,,2019,,,,,,,,,"7,16",,"0,00","4,75","48,13","6,72","200,83","14,70","5,89","26,86","0,00","0,00","4,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AMUNDI,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIAOMI,https://upload.wikimedia.org/wikipedia/commons/a/a9/XiaomiLogoNew2.png,2026,Technologie,,"-4,72","28,72","18,53","17,91","0,55","27,89","0,71","0,00","0,00","0,99","1,12","1,58","21,63","17,72","17,97","5,94",,"0,00",,HKG:1810,"13,09","4,00","4,43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIAOMI,,2025,,,,,,,,,#DIV/0!,,"0,00",,,,,,,,,"0,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIAOMI,,2024,,,,,,,,,"1,27",,"0,00","0,76","1,50","1,18","20,58","34,30","11,97","5,88","1,55","0,00","429,04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIAOMI,,2023,,,,,,,,,"1,57",,"0,00","0,11","1,30","0,83","20,51","20,46","9,83","5,27","1,69","0,00","357,00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIAOMI,,2022,,,,,,,,,"2,76",,"0,00","0,96","1,16","0,42","20,34","96,22","1,50","1,97","-0,44","0,00","358,28",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIAOMI,,2021,,,,,,,,,"1,33",,"0,00","1,01","1,42","1,07","20,33","20,69","13,12","5,95","0,15","0,00","300,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIAOMI,,2020,,,,,,,,,"1,78",,"0,00","0,46","0,89","0,50","20,49","35,81","17,81","3,79","1,03","0,00","205,41",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIAOMI,,2019,,,,,,,,,"2,02",,"0,00","0,96","0,85","0,42","17,48","23,20","11,96","3,71","1,01","0,00","165,72",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XIAOMI,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOBE,https://upload.wikimedia.org/wikipedia/commons/8/8d/Adobe_Corporate_Logo.png,2026,Technologie,,"35,76","274,03","552,60","322,02","-0,50","13,09","0,70",,,,,,,"13,99","38,70","37,00",,,,NASDAQ:ADBE,"19,40","15,00","0,93",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOBE,,2025,,,,,,,,,"0,70",,,"20,94","15,57","22,32","413,00","19,17","38,77","36,66","23,07",,"23,77",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOBE,,2024,,,,,,,,,"0,69",,,"18,42","13,47","19,50","441,00","41,73","28,43","36,40","17,51",,"21,52",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADOBE,,2023,,,,,,,,,"0,54",,,"16,07","8,89","16,46","455,00","51,79","28,11","34,13","15,12",,"19,37",,,,,,,,,,,,,Column 15,Entreprise,Colonne 1,secteur,Logo,Perf / ans,Prix actuel,Prix juste,Prix cible ,Dividende %,Valeur %,Per,Dette/EBITDA,ROIC,Marge opé,,,,,,,
ADOBE,,2022,,,,,,,,,"0,68",,,"13,71","9,84","14,57","462,00","33,82","25,39","33,98","15,70",,"17,43",,,,,,,,,,,,,,ASML,https://upload.wikimedia.org/wikipedia/commons/6/6c/ASML_Holding_N.V._logo.svg,2026,Technologie,,"-1,73","1394,00","741,90","656,76","0,88","56,37","0,22",,,,"7,00","31,85","387,60","50,10","42,98","35,31"
ADOBE,,2021,,,,,,,,,"0,70",,,"12,48","9,72","13,89","475,00","61,50","25,89","36,82","14,31",,"15,80",,,,,,,,,,,,,,TSMC,https://upload.wikimedia.org/wikipedia/fr/6/6d/Logo_Taiwan_Semiconductor_Manufacturing_Company.svg,2026,Technologie,,"-1,58","435,6","188,82","175,53","1,31","41,5","0,40","0,53",,,"6,56","16,27","5,19","31,77","30,47","53,89"
ADOBE,,2020,,,,,,,,,"0,93",,,"10,10","9,70","10,46","479,00","44,03","35,78","32,91","10,93",,"12,87",,,,,,,,,,,,,,DASSAULT SYSTHEME,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRDeTly8WOXa0bteahMGwDIw3zpUMEdxechqQ&s,2026,Technologie,,"16,04","20,3","18,00","21,70","0,13",,"1,34","1,28","0,26",,"1,95","1,46","1,32","20,09","11,11","31,29"
ADOBE,,2019,,,,,,,,,"1,04",,,"7,87","8,42","8,07","482,34","51,55","23,61","29,00","8,19",,"11,13",,,,,,,,,,,,,,SAP,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQOkLzg9c239zsnsdGcT7YaRsbXfPkBjQRhow&s,2026,Technologie,,"-7,70","167,9","101,69","105,68","0,65",,"0,70","1,40","2,35","6,15","6,89","9,90","1,14","27,18","14,24","27,63"
ADOBE,,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IPSOS,https://media.lesechos.com/api/v1/images/view/69696f1da70a2a5bcd0c1fbe/1280x720/2154200-1768517373-1034173-1424878297-ipsos-logo.jpg,2026,Technologie,,"14,83","39,5","49,50","32,80","-0,20",,"1,26",,,,"11,61","9,18","43,15","8,36","9,53","15,35"
TENCENT,https://architectureprize.com/wp-content/uploads/2023/12/tencent-logo-png-tencent-qq-music-3508-2732459362.png,2026,Technologie,,"14,17","436,00","460,26","369,10","-0,05","22,05","1,39","1,03","4,50",,"48,46","34,82","9,04","22,05","15,77","32,70",,,"788,79",HKG:0700,"17,74","12,94","1,70",,,,,,,,,,NVIDIA,https://www.nvidia.com/content/dam/en-zz/Solutions/about-nvidia/logo-and-brand/nvidia-og-image-white-bg-1200x630.jpg,2026,Technologie,,"51,30","224,4","143,10","110,09","0,57","37,4","0,09",,"0,04",,"0,47","5,45","24,30","37,36","93,57","65,02"
TENCENT,,2025,,,,,,,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,,,GOOGLE,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2f/Google_2015_logo.svg/1280px-Google_2015_logo.svg.png,2026,Technologie,,"-0,46","376,4","204,60","176,84","0,84","36,8","0,44","0,22","0,83","10,81","5,48","12,59","5,44","30,66","32,01","31,67"
TENCENT,,2024,,,,,,,,,"1,37",,"4,50",,"40,51","29,53","9,14","18,77","16,33","30,31","23,23","19,82","715,87",,,,,,,,,,,,,,MICROSOFT,https://graphiste.com/blog/wp-content/uploads/sites/4/2020/12/logo-microsoft-scaled.jpg,2026,Technologie,,"12,70","460,52","351,50","340,60","0,31","32,75","0,67","0,72","3,32",,"16,53","24,77","7,43","24,63","26,71","47,09"
TENCENT,,2023,,,,,,,,,"1,73",,"3,40",,"42,53","24,64","9,39","22,35","10,56","25,51","23,21","25,25","672,96",,,,,,,,,,,,,,COINBAISE,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Coinbase.svg/1280px-Coinbase.svg.png,2026,Technologie,,"10,97","182,61","252,80","187,16","-0,28",,"1,90","0,00","0,00",,"26,57","13,97","228,18","12,65","18,34","34,33"
TENCENT,,2022,,,,,,,,,"2,11",,"2,40",,"41,59","19,67","9,49","14,79","17,28","18,54","14,97","10,45","644,88",,,,,,,,,,,,,,XIAOMI,https://upload.wikimedia.org/wikipedia/commons/a/a9/XiaomiLogoNew2.png,2026,Technologie,,"-4,72","28,72","18,53","17,91","0,55","27,89","0,71","0,00","0,00","0,99","1,12","1,58","21,63","17,72","17,97","5,94"
TENCENT,,2021,,,,,,,,,"1,90",,"1,60",,"40,81","21,52","9,54","16,35","21,88","20,62","18,22","5,63","675,06",,,,,,,,,,,,,,ADOBE,https://upload.wikimedia.org/wikipedia/commons/8/8d/Adobe_Corporate_Logo.png,2026,Technologie,,"35,76","274,03","552,60","322,02","-0,50","13,09","0,70",,,,,,,"13,99","38,70","37,00"
TENCENT,,2020,,,,,,,,,"1,62",,"1,60",,"32,25","19,89","9,51","30,38","19,65","24,94","18,72","8,45","541,69",,,,,,,,,,,,,,TENCENT,https://architectureprize.com/wp-content/uploads/2023/12/tencent-logo-png-tencent-qq-music-3508-2732459362.png,2026,Technologie,,"14,17","436,00","460,26","369,10","-0,05","22,05","1,39","1,03","4,50",,"48,46","34,82","9,04","22,05","15,77","32,70"
TENCENT,,2019,,,,,,,,,"1,67",,"1,20",,"27,08","16,21","9,55","34,09","17,18","24,57","14,96","10,74","427,81",,,,,,,,,,,,,,NOVO NORDISK,,2025,Technologie,,,,,,,,"0,87",,"1,56","3,08","3,93","4,50","3,37","14,12","37,51","43,69"
TENCENT,,2018,,,,,,,,,"1,58",,"1,00",,"21,54","13,66","9,46","32,22","19,23","24,42","11,50","10,13","370,37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELLY PARTNERS,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQg6z-nUPc183APZXnDAz4snzuuIaIY9poDWA&s,2026,Technologie,,,"4,29","1,73","2,48","1,48",,"2,50","0,00","0,00",,"2,25","0,90","45,27","75,99","3,69","18,10","0,69",,"134,61",ASX:KPG,"8,51","8,15","9,33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KELLY PARTNERS,,2025,,,,,,,,,"2,52",,"0,00",,"2,27","0,90","45,27","141,71","3,69","19,32","0,70","0,00","134,61",,"8,76",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
